ID,Type,StartTime,EndTime,Location,BPM,Color
1000082,0,36570,0,192,,
1000083,2,36870,37470,448,,
1000084,0,37470,0,320,,
1000085,0,37770,0,64,,
1000086,0,38070,0,320,,
1000087,0,38370,0,192,,
1000088,0,38670,0,448,,
1000089,0,38970,0,192,,
1000090,0,39270,0,320,,
1000091,2,39570,40170,448,,
1000092,2,39570,40170,192,,
1000093,0,40170,0,320,,
1000094,0,40470,0,448,,
1000095,0,40770,0,192,,
1000096,0,41070,0,320,,
1000097,0,41370,0,192,,
1000098,2,41670,42270,64,,
1000099,0,42270,0,192,,
1000100,0,42570,0,448,,
1000101,0,42870,0,192,,
1000102,0,43170,0,320,,
1000103,0,43470,0,64,,
1000104,0,43770,0,192,,
1000105,0,44070,0,320,,
1000106,2,44370,44970,192,,
1000107,2,44370,44970,448,,
1000108,0,44970,0,320,,
1000109,0,45270,0,64,,
1000110,0,45570,0,192,,
1000111,0,45870,0,320,,
1000112,0,46170,0,192,,
1000113,2,46470,47070,448,,
1000114,0,47070,0,320,,
1000115,0,47370,0,64,,
1000116,0,47670,0,320,,
1000117,0,47970,0,192,,
1000118,0,48270,0,448,,
1000119,0,48570,0,320,,
1000120,0,48870,0,192,,
1000121,2,49170,49770,64,,
1000122,2,49170,49770,320,,
1000123,0,49770,0,192,,
1000124,0,50070,0,448,,
1000125,0,50370,0,320,,
1000126,0,50670,0,192,,
1000127,0,50970,0,320,,
1000128,2,51270,51870,64,,
1000129,0,51870,0,192,,
1000130,0,52170,0,448,,
1000131,0,52470,0,192,,
1000132,0,52770,0,320,,
1000133,0,53070,0,64,,
1000134,0,53370,0,192,,
1000135,0,53670,0,320,,
1000136,2,53970,54870,192,,
1000137,2,53970,54870,448,,
1000138,2,54870,56070,64,,
1000139,2,54870,56070,320,,
1000140,0,56670,0,448,,
1000141,0,56970,0,64,,
1000142,0,57270,0,320,,
1000143,0,57570,0,192,,
1000144,0,57870,0,448,,
1000145,0,58170,0,320,,
1000146,0,58470,0,192,,
1000147,2,58770,59370,64,,
1000148,2,58770,59370,320,,
1000149,0,59370,0,192,,
1000150,0,59670,0,448,,
1000151,0,59970,0,320,,
1000152,0,60270,0,192,,
1000153,0,60570,0,320,,
1000154,2,60870,61470,64,,
1000155,0,61470,0,192,,
1000156,0,61770,0,448,,
1000157,0,62070,0,320,,
1000158,0,62370,0,192,,
1000159,0,62670,0,320,,
1000160,0,62970,0,192,,
1000161,0,63270,0,320,,
1000162,2,63570,64170,192,,
1000163,2,63570,64170,448,,
1000164,0,64170,0,320,,
1000165,0,64470,0,64,,
1000166,0,64770,0,320,,
1000167,0,65070,0,192,,
1000168,0,65370,0,320,,
1000169,2,65670,66270,448,,
1000170,0,66270,0,320,,
1000171,0,66570,0,64,,
1000172,0,66870,0,192,,
1000173,0,67170,0,320,,
1000174,0,67470,0,64,,
1000175,0,67770,0,320,,
1000176,0,68070,0,192,,
1000177,2,68370,68970,64,,
1000178,2,68370,68970,320,,
1000179,0,68970,0,192,,
1000180,0,69270,0,448,,
1000181,0,69570,0,320,,
1000182,0,69870,0,192,,
1000183,0,70170,0,320,,
1000184,2,70470,71070,64,,
1000185,0,71070,0,192,,
1000186,0,71370,0,448,,
1000187,0,71670,0,320,,
1000188,0,71970,0,192,,
1000189,0,72270,0,320,,
1000190,0,72570,0,192,,
1000191,2,72870,73770,320,,
