ID,Type,StartTime,EndTime,Location,BPM,Color
1000116,0,43875,0,448,,
1000117,0,44175,0,64,,
1000118,0,44475,0,320,,
1000119,0,44775,0,192,,
1000120,0,45037,0,64,,
1000121,2,45150,45750,448,,
1000122,0,45750,0,64,,
1000123,0,45900,0,448,,
1000124,0,46200,0,320,,
1000125,2,46350,47775,192,,
1000126,0,47812,0,64,,
1000127,0,48112,0,192,,
1000128,0,48412,0,448,,
1000129,0,48712,0,192,,
1000130,0,49012,0,64,,
1000131,0,49312,0,320,,
1000132,0,49612,0,192,,
1000133,0,49912,0,448,,
1000134,0,50100,0,64,,
1000135,0,50550,0,192,,
1000136,0,50700,0,448,,
1000137,0,51000,0,64,,
1000138,2,51150,52575,320,,
1000139,0,52612,0,448,,
1000140,0,52912,0,64,,
1000141,0,53212,0,320,,
1000142,0,53512,0,448,,
1000143,0,53812,0,192,,
1000144,0,54112,0,448,,
1000145,0,54412,0,320,,
1000146,0,54600,0,64,,
1000147,0,54712,0,448,,
1000148,0,54900,0,192,,
1000149,0,55275,0,192,,
1000150,0,55425,0,448,,
1000151,0,55725,0,320,,
1000152,2,55875,56850,64,,
1000153,0,56850,0,192,,
1000154,2,57150,58650,320,,
1000155,2,57150,58650,64,,
1000156,2,58650,58950,192,,
1000157,2,58950,59250,448,,
1000158,2,59250,59550,192,,
1000159,0,59550,0,320,,
1000160,2,59700,61050,64,,
1000161,2,61050,62250,192,,
1000162,2,62250,62550,448,,
1000163,2,62550,62850,320,,
1000164,2,62850,63150,448,,
1000165,0,63150,0,192,,
1000166,2,63300,63750,320,,
1000167,2,63750,64050,192,,
1000168,2,64050,64350,320,,
1000169,0,64350,0,64,,
1000170,2,64500,65850,192,,
1000171,2,65850,67050,448,,
1000172,2,67050,67350,64,,
1000173,2,67350,67650,320,,
1000174,2,67650,67950,64,,
1000175,0,67950,0,320,,
1000176,2,68100,68550,448,,
1000177,2,68550,68850,192,,
1000178,2,68850,69150,320,,
1000179,0,69150,0,64,,
1000180,2,69300,70650,192,,
1000181,2,70650,71850,320,,
1000182,2,71850,72150,64,,
1000183,2,72150,72450,320,,
1000184,2,72450,72750,192,,
1000185,0,72750,0,448,,
1000186,2,72900,73350,64,,
1000187,2,73350,73650,320,,
1000188,2,73650,73950,192,,
1000189,0,73950,0,64,,
1000190,2,74100,75450,192,,
1000191,2,75450,76350,320,,
1000192,0,76350,0,192,,
1000193,0,76500,0,64,,
1000194,0,76650,0,448,,
1000195,0,76800,0,192,,
1000196,0,76950,0,320,,
1000197,0,77100,0,64,,
1000198,0,77250,0,320,,
1000199,0,77550,0,64,,
1000200,0,77550,0,320,,
1000201,0,77850,0,448,,
1000202,0,77850,0,192,,
1000203,0,78150,0,64,,
1000204,0,78150,0,320,,
1000205,0,78450,0,448,,
1000206,0,78450,0,192,,
1000207,0,78750,0,64,,
1000208,0,78750,0,320,,
1000209,2,79050,79500,448,,
1000210,2,79050,79500,192,,
1000211,2,79500,79950,320,,
1000212,2,79950,80550,192,,
1000213,0,80550,0,64,,
1000214,0,80850,0,320,,
1000215,0,81150,0,192,,
1000216,2,81450,81900,320,,
1000217,2,81450,81900,64,,
1000218,2,81900,82350,192,,
1000219,2,82350,82950,320,,
1000220,0,82950,0,448,,
1000221,0,83250,0,192,,
1000222,0,83550,0,320,,
1000223,2,83850,84300,64,,
1000224,2,84300,84750,192,,
1000225,2,84750,85350,320,,
1000226,0,85350,0,448,,
1000227,0,85350,0,192,,
1000228,0,85650,0,320,,
1000229,0,85950,0,192,,
1000230,2,86250,86700,320,,
1000231,2,86250,86700,64,,
1000232,2,86700,87150,192,,
1000233,2,87150,87750,320,,
1000234,0,87750,0,192,,
1000235,0,88050,0,448,,
1000236,0,88350,0,192,,
1000237,2,88650,89100,320,,
1000238,2,88650,89100,64,,
1000239,2,89100,89550,192,,
1000240,2,89550,90150,320,,
1000241,0,90150,0,192,,
1000242,0,90450,0,448,,
1000243,0,90750,0,192,,
1000244,2,91050,91500,64,,
1000245,2,91050,91500,320,,
1000246,2,91500,91950,192,,
1000247,2,91950,92550,64,,
1000248,0,92550,0,448,,
1000249,0,92850,0,192,,
1000250,0,93150,0,320,,
1000251,2,93450,93900,64,,
1000252,2,93900,94350,192,,
1000253,2,94350,94950,320,,
1000254,0,94950,0,448,,
1000255,0,95250,0,192,,
1000256,0,95550,0,448,,
1000257,2,95850,96450,320,,
1000258,2,95850,96450,64,,
1000259,2,96450,97050,448,,
1000260,2,96450,97050,192,,
1000261,2,97050,97650,64,,
1000262,2,97050,97650,320,,
1000263,2,97650,98250,192,,
