ID,Type,StartTime,EndTime,Location,BPM,Color,,
1000079,0,51515,0,320,,,,
1000080,2,51703,52078,192,,,,
1000081,2,51703,52078,448,,,,
1000082,0,52078,0,320,,,,
1000083,0,52265,0,64,,,,
1000084,2,52453,52828,448,,,,
1000085,2,52453,52828,192,,,,
1000086,0,52828,0,320,,,,
1000087,0,53015,0,64,,,,
1000088,0,53203,0,448,,,,
1000089,0,53390,0,320,,,,
1000090,0,53578,0,192,,,,
1000091,0,53765,0,64,,,,
1000092,0,53953,0,320,,,,
1000093,0,54140,0,192,,,,
1000094,0,54328,0,320,,,,
1000095,0,54515,0,192,,,,
1000096,2,54703,55078,64,,,,
1000097,2,54703,55078,320,,,,
1000098,0,55078,0,192,,,,
1000099,0,55265,0,448,,,,
1000100,2,55453,55828,64,,,,
1000101,2,55453,55828,320,,,,
1000102,0,55828,0,192,,,,
1000103,0,56015,0,448,,,,
1000104,0,56203,0,64,,,,
1000105,0,56390,0,192,,,,
1000106,0,56578,0,320,,,,
1000107,0,56765,0,448,,,,
1000108,0,56953,0,192,,,,
1000109,0,57140,0,320,,,,
1000110,0,57328,0,192,,,,
1000111,0,57515,0,320,,,,
1000112,2,57703,58078,192,,,,
1000113,2,57703,58078,448,,,,
1000114,0,58078,0,320,,,,
1000115,0,58265,0,64,,,,
1000116,2,58453,58828,448,,,,
1000117,2,58453,58828,192,,,,
1000118,0,58828,0,320,,,,
1000119,0,59015,0,64,,,,
1000120,0,59203,0,448,,,,
1000121,0,59390,0,320,,,,
1000122,0,59578,0,192,,,,
1000123,0,59765,0,64,,,,
1000124,0,59953,0,320,,,,
1000125,0,60140,0,192,,,,
1000126,0,60328,0,320,,,,
1000127,0,60515,0,192,,,,
1000128,2,60703,61078,64,,,,
1000129,2,60703,61078,320,,,,
1000130,0,61078,0,192,,,,
1000131,0,61265,0,448,,,,
1000132,2,61453,61828,64,,,,
1000133,2,61453,61828,320,,,,
1000134,0,61828,0,192,,,,
1000135,0,62015,0,448,,,,
1000136,0,62203,0,64,,,,
1000137,0,62390,0,192,,,,
1000138,0,62578,0,320,,,,
1000139,0,62765,0,448,,,,
1000140,0,62953,0,192,,,,
1000141,0,63140,0,320,,,,
1000142,0,63328,0,192,,,,
1000143,0,63515,0,320,,,,
1000144,2,63703,64078,192,,,,
1000145,2,63703,64078,448,,,,
1000146,0,64078,0,320,,,,
1000147,0,64265,0,64,,,,
1000148,2,64453,64828,448,,,,
1000149,2,64453,64828,192,,,,
1000150,0,64828,0,320,,,,
1000151,0,65015,0,64,,,,
1000152,0,65203,0,448,,,,
1000153,0,65390,0,320,,,,
1000154,0,65578,0,192,,,,
1000155,0,65765,0,64,,,,
1000156,0,65953,0,320,,,,
1000157,0,66140,0,192,,,,
1000158,0,66328,0,320,,,,
1000159,0,66515,0,192,,,,
1000160,2,66703,67078,64,,,,
1000161,2,66703,67078,320,,,,
1000162,0,67078,0,192,,,,
1000163,0,67265,0,448,,,,
1000164,2,67453,67828,64,,,,
1000165,2,67453,67828,320,,,,
1000166,0,67828,0,192,,,,
1000167,0,68015,0,448,,,,
1000168,0,68203,0,64,,,,
1000169,0,68390,0,192,,,,
1000170,0,68578,0,320,,,,
1000171,0,68765,0,448,,,,
1000172,0,68953,0,192,,,,
1000173,0,69140,0,320,,,,
1000174,0,69328,0,192,,,,
1000175,0,69515,0,320,,,,
1000176,2,69703,70078,192,,,,
1000177,2,69703,70078,448,,,,
1000178,0,70078,0,320,,,,
1000179,0,70265,0,64,,,,
1000180,2,70453,70828,448,,,,
1000181,2,70453,70828,192,,,,
1000182,0,70828,0,320,,,,
1000183,0,71015,0,64,,,,
1000184,0,71203,0,448,,,,
1000185,0,71390,0,320,,,,
1000186,0,71578,0,192,,,,
1000187,0,71765,0,64,,,,
1000188,0,71953,0,320,,,,
1000189,0,72140,0,192,,,,
1000190,2,72328,72703,320,,,,
1000191,0,72703,0,192,,,,
1000192,0,72703,0,448,,,,
1000193,0,73078,0,320,,,,
1000194,0,73078,0,64,,,,
1000195,0,73453,0,192,,,,
1000196,0,73453,0,448,,,,
1000197,0,73828,0,320,,,,
1000198,0,73828,0,64,,,,
1000199,0,74203,0,192,,,,
1000200,0,74578,0,320,,,,
1000201,0,74953,0,192,,,,
1000202,0,75328,0,320,,,,
1000203,0,75703,0,192,,,,
1000204,0,75703,0,448,,,,
1000205,0,76078,0,320,,,,
1000206,0,76078,0,64,,,,
1000207,0,76453,0,192,,,,
1000208,0,76453,0,448,,,,
1000209,0,76828,0,320,,,,
1000210,0,76828,0,64,,,,
1000211,0,77203,0,448,,,,
1000212,0,77578,0,64,,,,
1000213,0,77953,0,448,,,,
1000214,0,78328,0,64,,,,
1000215,0,78703,0,192,,,,
1000216,0,78703,0,448,,,,
1000217,0,79078,0,320,,,,
1000218,0,79078,0,64,,,,
1000219,0,79453,0,192,,,,
1000220,0,79453,0,448,,,,
1000221,0,79828,0,320,,,,
1000222,0,79828,0,64,,,,
1000223,0,80203,0,192,,,,
1000224,0,80578,0,320,,,,
1000225,0,80953,0,192,,,,
1000226,0,81328,0,320,,,,
1000227,0,81703,0,192,,,,
1000228,0,81703,0,448,,,,
1000229,0,82078,0,320,,,,
1000230,0,82078,0,64,,,,
1000231,0,82453,0,192,,,,
1000232,0,82453,0,448,,,,
1000233,0,82828,0,320,,,,
1000234,0,82828,0,64,,,,
1000235,0,83203,0,448,,,,
1000236,0,83578,0,320,,,,
1000237,0,83953,0,192,,,,
1000238,0,84328,0,64,,,,
1000239,2,84703,85828,320,,,,
