ID,Type,StartTime,EndTime,Location,BPM,Color,,,,,,
1000138,2,45428,45857,448,,,,,,,,
1000139,0,45857,0,64,,,,,,,,
1000140,0,46071,0,448,,,,,,,,
1000141,2,46285,47142,192,,,,,,,,
1000142,0,47571,0,320,,,,,,,,
1000143,2,48000,48857,192,,,,,,,,
1000144,2,48000,48857,448,,,,,,,,
1000145,0,48857,0,320,,,,,,,,
1000146,0,49285,0,448,,,,,,,,
1000147,0,49285,0,192,,,,,,,,
1000148,0,49500,0,320,,,,,,,,
1000149,2,49714,50571,448,,,,,,,,
1000150,0,50571,0,320,,,,,,,,
1000151,0,51000,0,192,,,,,,,,
1000152,0,51428,0,64,,,,,,,,
1000153,0,51428,0,320,,,,,,,,
1000154,0,51857,0,192,,,,,,,,
1000155,0,52285,0,64,,,,,,,,
1000156,0,52285,0,320,,,,,,,,
1000157,0,52714,0,192,,,,,,,,
1000158,0,53142,0,448,,,,,,,,
1000159,0,53571,0,320,,,,,,,,
1000160,0,53571,0,64,,,,,,,,
1000161,2,54000,54857,192,,,,,,,,
1000162,0,54857,0,64,,,,,,,,
1000163,0,54857,0,320,,,,,,,,
1000164,0,55285,0,192,,,,,,,,
1000165,0,55500,0,320,,,,,,,,
1000166,0,55714,0,448,,,,,,,,
1000167,0,56142,0,320,,,,,,,,
1000168,0,56571,0,192,,,,,,,,
1000169,0,57000,0,64,,,,,,,,
1000170,0,57214,0,192,,,,,,,,
1000171,0,57428,0,320,,,,,,,,
1000172,0,57642,0,448,,,,,,,,
1000173,0,57857,0,320,,,,,,,,
1000174,0,58285,0,192,,,,,,,,
1000175,0,58285,0,448,,,,,,,,
1000176,0,58714,0,320,,,,,,,,
1000177,0,58928,0,192,,,,,,,,
1000178,0,59142,0,64,,,,,,,,
1000179,0,59571,0,192,,,,,,,,
1000180,0,60000,0,448,,,,,,,,
1000181,0,60428,0,192,,,,,,,,
1000182,0,60642,0,64,,,,,,,,
1000183,2,60857,61714,320,,,,,,,,
1000184,0,61714,0,192,,,,,,,,
1000185,0,61714,0,448,,,,,,,,
1000186,0,62142,0,320,,,,,,,,
1000187,0,62357,0,192,,,,,,,,
1000188,0,62571,0,448,,,,,,,,
1000189,0,63000,0,320,,,,,,,,
1000190,0,63428,0,192,,,,,,,,
1000191,0,63857,0,448,,,,,,,,
1000192,0,64071,0,320,,,,,,,,
1000193,0,64285,0,192,,,,,,,,
1000194,0,64500,0,448,,,,,,,,
1000195,0,64714,0,192,,,,,,,,
1000196,0,65142,0,64,,,,,,,,
1000197,0,65142,0,320,,,,,,,,
1000198,0,65571,0,192,,,,,,,,
1000199,0,65785,0,320,,,,,,,,
1000200,0,66000,0,192,,,,,,,,
1000201,0,66428,0,448,,,,,,,,
1000202,0,66857,0,320,,,,,,,,
1000203,0,67285,0,64,,,,,,,,
1000204,0,67500,0,448,,,,,,,,
1000205,2,67714,68571,64,,,,,,,,
