ID,Type,StartTime,EndTime,Location,BPM,Color,,
1000152,0,49817,0,64,,,,
1000153,0,50048,0,192,,,,
1000154,2,50048,50076,448,,,,
1000155,0,50278,0,320,,,,
1000156,0,50278,0,64,,,,
1000157,0,50509,0,192,,,,
1000158,0,50509,0,448,,,,
1000159,2,50740,51201,320,,,,
1000160,2,50740,51201,64,,,,
1000161,2,51201,51663,448,,,,
1000162,2,51201,51663,192,,,,
1000163,2,51663,52125,320,,,,
1000164,2,51663,52125,64,,,,
1000165,0,52355,0,192,,,,
1000166,2,52586,53048,320,,,,
1000167,2,52586,53048,64,,,,
1000168,0,53048,0,192,,,,
1000169,0,53048,0,448,,,,
1000170,0,53278,0,320,,,,
1000171,0,53278,0,64,,,,
1000172,0,53509,0,192,,,,
1000173,0,53509,0,448,,,,
1000174,0,53740,0,320,,,,
1000175,0,53740,0,64,,,,
1000176,0,53971,0,192,,,,
1000177,0,53971,0,448,,,,
1000178,0,54201,0,320,,,,
1000179,0,54201,0,64,,,,
1000180,2,54432,54894,192,,,,
1000181,2,54432,54894,448,,,,
1000182,2,54894,55355,64,,,,
1000183,2,54894,55355,320,,,,
1000184,2,55355,55817,192,,,,
1000185,2,55355,55817,448,,,,
1000186,0,55817,0,320,,,,
1000187,0,56048,0,192,,,,
1000188,2,56278,56740,320,,,,
1000189,0,56740,0,192,,,,
1000190,0,56971,0,320,,,,
1000191,2,57201,57663,192,,,,
1000192,2,57663,58125,320,,,,
1000193,2,58125,59048,64,,,,
